reservationId,startDate,endDate,tripActualStart,tripActualEnd,tripTimeAmount,tripDistanceUsed,reservationDate,cancellationDate,carId,reservationStatus,pricePlanId,pricePlan,startLatitude,startLongitude,endLatitude,endLongitude
1333174,04/01/2020 00:03:00,04/01/2020 00:14:00,04/01/2020 00:14:00,04/01/2020 00:25:00,647,4,04/01/2020 00:03:00,01/01/2001 00:00:00,86,Ended,8,מתמיד דיגיתל FREE,32.08311,34.78062,32.0602,34.77303
1333175,04/01/2020 00:11:00,04/01/2020 00:11:00,04/01/2020 00:11:00,04/01/2020 00:22:00,633,4,04/01/2020 00:11:00,01/01/2001 00:00:00,177,Ended,1,מסלול מתמיד אוטותל,32.0688,34.77743,32.08799,34.79139
1333176,04/01/2020 00:16:00,04/01/2020 00:16:00,04/01/2020 00:16:00,04/01/2020 00:26:00,576,3,04/01/2020 00:16:00,01/01/2001 00:00:00,161,Ended,7,מתמיד FREE,32.11469,34.82632,32.10968,34.81735
1333177,04/01/2020 01:07:00,04/01/2020 01:12:00,04/01/2020 01:12:00,04/01/2020 01:33:00,1273,6,04/01/2020 01:07:00,01/01/2001 00:00:00,86,Ended,2,מסלול מתמיד דיגיטל,32.0602,34.77303,32.09018,34.7779
1333178,04/01/2020 01:08:00,04/01/2020 01:11:00,04/01/2020 01:11:00,04/01/2020 01:23:00,697,4,04/01/2020 01:08:00,01/01/2001 00:00:00,250,Ended,4,מסלול מזדמן דיגיטל,32.05623,34.76977,32.03495,34.75421
1333179,04/01/2020 01:32:00,04/01/2020 01:34:00,04/01/2020 01:34:00,04/01/2020 01:52:00,1065,12,04/01/2020 01:32:00,01/01/2001 00:00:00,167,Ended,6,מזדמן דיגיתל FREE,32.04158,34.77261,32.08681,34.78826
1333181,04/01/2020 02:10:00,04/01/2020 02:18:00,04/01/2020 02:18:00,04/01/2020 02:30:00,721,5,04/01/2020 02:10:00,01/01/2001 00:00:00,49,Ended,2,מסלול מתמיד דיגיטל,32.07976,34.77452,32.06747,34.76889
1333182,04/01/2020 04:39:00,04/01/2020 04:45:00,04/01/2020 04:45:00,04/01/2020 05:28:00,2600,13,04/01/2020 04:39:00,01/01/2001 00:00:00,240,Ended,7,מתמיד FREE,32.07043,34.78739,32.06793,34.78281
1333183,04/01/2020 04:55:00,04/01/2020 05:04:00,04/01/2020 05:04:00,04/01/2020 05:24:00,1219,5,04/01/2020 04:55:00,01/01/2001 00:00:00,134,Ended,8,מתמיד דיגיתל FREE,32.06968,34.77347,32.04113,34.76993
1333184,04/01/2020 05:09:00,04/01/2020 05:09:00,04/01/2020 05:09:00,04/01/2020 05:20:00,656,3,04/01/2020 05:09:00,01/01/2001 00:00:00,178,Ended,7,מתמיד FREE,32.12003,34.8429,32.11333,34.82436
1333185,04/01/2020 05:22:00,04/01/2020 05:28:00,04/01/2020 05:28:00,04/01/2020 05:46:00,1086,11,04/01/2020 05:22:00,01/01/2001 00:00:00,104,Ended,7,מתמיד FREE,32.08492,34.79675,32.0849,34.79674
1333188,04/01/2020 05:38:00,04/01/2020 05:46:00,04/01/2020 05:46:00,04/01/2020 05:55:00,573,6,04/01/2020 05:38:00,01/01/2001 00:00:00,102,Ended,5,מזדמן FREE,32.03545,34.7585,32.06248,34.78097
1333189,04/01/2020 05:44:00,04/01/2020 05:54:00,04/01/2020 05:54:00,04/01/2020 06:10:00,937,7,04/01/2020 05:44:00,01/01/2001 00:00:00,167,Ended,5,מזדמן FREE,32.08681,34.78827,32.10659,34.83544
1333191,04/01/2020 05:47:00,04/01/2020 05:50:00,04/01/2020 05:50:00,04/01/2020 06:04:00,856,10,04/01/2020 05:47:00,01/01/2001 00:00:00,104,Ended,7,מתמיד FREE,32.05145,34.75002,32.0849,34.79674
1333192,04/01/2020 06:06:00,04/01/2020 06:13:00,04/01/2020 06:13:00,04/01/2020 06:29:00,974,4,04/01/2020 06:06:00,01/01/2001 00:00:00,177,Ended,2,מסלול מתמיד דיגיטל,32.08797,34.7914,32.06254,34.79067
1333193,04/01/2020 06:31:00,04/01/2020 06:37:00,04/01/2020 06:37:00,04/01/2020 07:09:00,1944,14,04/01/2020 06:31:00,01/01/2001 00:00:00,39,Ended,8,מתמיד דיגיתל FREE,32.12509,34.82741,32.05153,34.75483
1333195,04/01/2020 06:54:00,04/01/2020 06:58:00,04/01/2020 06:58:00,04/01/2020 07:07:00,500,3,04/01/2020 06:54:00,01/01/2001 00:00:00,113,Ended,3,מסלול מזדמן,32.11782,34.83933,32.12792,34.82116
1333196,04/01/2020 06:57:00,04/01/2020 07:09:00,04/01/2020 07:09:00,04/01/2020 07:21:00,740,3,04/01/2020 06:57:00,01/01/2001 00:00:00,204,Ended,2,מסלול מתמיד דיגיטל,32.08221,34.78451,32.06974,34.79508
1333197,04/01/2020 07:00:00,04/01/2020 07:11:00,04/01/2020 07:11:00,04/01/2020 07:38:00,1619,13,04/01/2020 07:00:00,01/01/2001 00:00:00,185,Ended,3,מסלול מזדמן,32.05298,34.76937,32.10891,34.83397
1333198,04/01/2020 07:02:00,04/01/2020 07:06:00,04/01/2020 07:06:00,04/01/2020 07:24:00,1091,7,04/01/2020 07:02:00,01/01/2001 00:00:00,42,Ended,2,מסלול מתמיד דיגיטל,32.09186,34.78225,32.05757,34.81093
1333199,04/01/2020 07:02:00,04/01/2020 07:11:00,04/01/2020 07:11:00,04/01/2020 07:24:00,804,8,04/01/2020 07:02:00,01/01/2001 00:00:00,119,Ended,2,מסלול מתמיד דיגיטל,32.08143,34.77628,32.10769,34.83769
1333200,04/01/2020 07:23:00,04/01/2020 07:31:00,04/01/2020 07:31:00,04/01/2020 07:47:00,981,7,04/01/2020 07:23:00,01/01/2001 00:00:00,107,Ended,5,מזדמן FREE,32.07779,34.77886,32.11967,34.79993
1333201,04/01/2020 07:25:00,04/01/2020 07:27:00,04/01/2020 07:27:00,04/01/2020 07:44:00,1012,7,04/01/2020 07:25:00,01/01/2001 00:00:00,2,Ended,3,מסלול מזדמן,32.08769,34.78441,32.10862,34.83415
1333202,04/01/2020 07:25:00,04/01/2020 07:30:00,04/01/2020 07:30:00,04/01/2020 07:45:00,937,7,04/01/2020 07:25:00,01/01/2001 00:00:00,142,Ended,7,מתמיד FREE,32.08578,34.77029,32.12494,34.8015
1333203,04/01/2020 07:27:00,04/01/2020 07:27:00,04/01/2020 07:27:00,04/01/2020 07:39:00,746,7,04/01/2020 07:27:00,01/01/2001 00:00:00,137,Ended,6,מזדמן דיגיתל FREE,32.12166,34.81227,32.07556,34.78508
1333204,04/01/2020 07:35:00,04/01/2020 07:41:00,04/01/2020 07:41:00,04/01/2020 07:57:00,924,5,04/01/2020 07:35:00,01/01/2001 00:00:00,160,Ended,7,מתמיד FREE,32.07665,34.77225,32.05095,34.77188
1333205,04/01/2020 07:38:00,04/01/2020 07:44:00,04/01/2020 07:44:00,04/01/2020 07:59:00,916,8,04/01/2020 07:38:00,01/01/2001 00:00:00,118,Ended,2,מסלול מתמיד דיגיטל,32.07771,34.79877,32.03684,34.76249
1333206,04/01/2020 07:38:00,04/01/2020 07:48:00,04/01/2020 07:48:00,04/01/2020 08:01:00,783,6,04/01/2020 07:38:00,01/01/2001 00:00:00,93,Ended,8,מתמיד דיגיתל FREE,32.08885,34.77787,32.10975,34.82816
1333207,04/01/2020 07:41:00,04/01/2020 07:47:00,04/01/2020 07:47:00,04/01/2020 08:04:00,1016,4,04/01/2020 07:41:00,01/01/2001 00:00:00,226,Ended,7,מתמיד FREE,32.08535,34.77715,32.06254,34.78099
1333208,04/01/2020 07:45:00,04/01/2020 07:51:00,04/01/2020 07:51:00,04/01/2020 08:06:00,902,6,04/01/2020 07:45:00,01/01/2001 00:00:00,215,Ended,2,מסלול מתמיד דיגיטל,32.08005,34.78578,32.12489,34.79902
1333209,04/01/2020 07:45:00,04/01/2020 07:50:00,04/01/2020 07:50:00,04/01/2020 07:58:00,510,3,04/01/2020 07:45:00,01/01/2001 00:00:00,248,Ended,2,מסלול מתמיד דיגיטל,32.07309,34.77174,32.08655,34.78111
1333210,04/01/2020 07:48:00,04/01/2020 07:49:00,04/01/2020 07:49:00,04/01/2020 08:04:00,916,4,04/01/2020 07:48:00,01/01/2001 00:00:00,237,Ended,3,מסלול מזדמן,32.09423,34.77549,32.11319,34.79597
1333211,04/01/2020 07:49:00,04/01/2020 07:56:00,04/01/2020 07:56:00,04/01/2020 08:07:00,687,6,04/01/2020 07:49:00,01/01/2001 00:00:00,155,Ended,2,מסלול מתמיד דיגיטל,32.11175,34.81789,32.1179,34.79247
1333212,04/01/2020 07:50:00,04/01/2020 07:57:00,04/01/2020 07:57:00,04/01/2020 08:17:00,1232,6,04/01/2020 07:50:00,01/01/2001 00:00:00,6,Ended,8,מתמיד דיגיתל FREE,32.049,34.75698,32.07029,34.78655
1333213,04/01/2020 07:55:00,04/01/2020 07:56:00,04/01/2020 07:56:00,04/01/2020 08:13:00,1004,4,04/01/2020 07:55:00,01/01/2001 00:00:00,204,Ended,2,מסלול מתמיד דיגיטל,32.06976,34.79505,32.08218,34.78172
1333214,04/01/2020 07:56:00,04/01/2020 07:57:00,04/01/2020 07:57:00,04/01/2020 08:09:00,690,2,04/01/2020 07:56:00,01/01/2001 00:00:00,158,Ended,7,מתמיד FREE,32.05487,34.76059,32.04236,34.75148
1333215,04/01/2020 07:57:00,04/01/2020 08:01:00,04/01/2020 08:01:00,04/01/2020 08:17:00,923,4,04/01/2020 07:57:00,01/01/2001 00:00:00,264,Ended,3,מסלול מזדמן,32.07672,34.77224,32.06602,34.80177
