reservationId,startDate,endDate,tripActualStart,tripActualEnd,tripTimeAmount,tripDistanceUsed,reservationDate,cancellationDate,carId,reservationStatus,pricePlanId,pricePlan,startLatitude,startLongitude,endLatitude,endLongitude
1529757,09/01/2020 00:01:00,09/01/2020 00:01:00,09/01/2020 00:01:00,09/01/2020 00:10:00,523,1,09/01/2020 00:01:00,01/01/2001 00:00:00,106,Ended,7,מתמיד FREE,32.04113,34.77319,32.04147,34.76638
1529758,09/01/2020 00:02:00,09/01/2020 00:09:00,09/01/2020 00:09:00,09/01/2020 00:15:00,372,2,09/01/2020 00:02:00,01/01/2001 00:00:00,81,Ended,5,מזדמן FREE,32.11582,34.78835,32.10794,34.80273
1529760,09/01/2020 00:06:00,09/01/2020 00:10:00,09/01/2020 00:10:00,09/01/2020 00:22:00,749,2,09/01/2020 00:06:00,01/01/2001 00:00:00,177,Ended,8,מתמיד דיגיתל FREE,32.09507,34.79228,32.08986,34.77991
1529761,09/01/2020 00:09:00,09/01/2020 00:11:00,09/01/2020 00:11:00,09/01/2020 00:26:00,900,5,09/01/2020 00:09:00,01/01/2001 00:00:00,111,Ended,4,מסלול מזדמן דיגיטל,32.07043,34.77637,32.09683,34.7972
1529762,09/01/2020 00:09:00,09/01/2020 00:11:00,09/01/2020 00:11:00,09/01/2020 00:34:00,1381,7,09/01/2020 00:09:00,01/01/2001 00:00:00,20,Ended,2,מסלול מתמיד דיגיטל,32.11323,34.79596,32.08315,34.77669
1529764,09/01/2020 00:12:00,09/01/2020 00:13:00,09/01/2020 00:13:00,09/01/2020 00:27:00,852,6,09/01/2020 00:12:00,01/01/2001 00:00:00,252,Ended,5,מזדמן FREE,32.07842,34.78236,32.12968,34.79515
1529765,09/01/2020 00:15:00,09/01/2020 00:19:00,09/01/2020 00:19:00,09/01/2020 00:28:00,527,2,09/01/2020 00:15:00,01/01/2001 00:00:00,218,Ended,10,עסקי עד 8 נהגים,32.06992,34.77297,32.08432,34.77493
1529766,09/01/2020 00:16:00,09/01/2020 00:26:00,09/01/2020 00:26:00,09/01/2020 00:54:00,1687,10,09/01/2020 00:16:00,01/01/2001 00:00:00,57,Ended,1,מסלול מתמיד אוטותל,32.11761,34.84225,32.09006,34.78314
1529767,09/01/2020 00:17:00,09/01/2020 00:24:00,09/01/2020 00:24:00,09/01/2020 00:45:00,1307,8,09/01/2020 00:17:00,01/01/2001 00:00:00,98,Ended,1,מסלול מתמיד אוטותל,32.06985,34.76633,32.11842,34.78727
1529768,09/01/2020 00:19:00,09/01/2020 00:21:00,09/01/2020 00:21:00,09/01/2020 00:35:00,833,5,09/01/2020 00:19:00,01/01/2001 00:00:00,219,Ended,3,מסלול מזדמן,32.05509,34.75816,32.05112,34.80244
